organization,subject_code,subject_code_key,description,description_variants,units,offered_semesters,source_academic_years,prerequisite_codes,prerequisite_logic,prerequisite_confidence,possible_prerequisite_codes,possible_prerequisite_logic,professor_surnames,sections,prerequisite_notes
CBAE,ADMAN,ADMAN,Administrative and Office Management,Administrative and Office Management,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,LOPEZ,HR 201|HR 202,No clear prerequisite identified from the uploaded schedules.
CBAE,ADVCOM,ADVCOM,Adv Computer Application for Business,Adv Computer Application for Business | Adv.Computer App for Business,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,GAGARIN|LAYOS,EN 201|FM 102|FM 202|HR 101|HR 102|HR 103|MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,ADVER,ADVER,Advertising,Advertising,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ESCLAREZ,MM 201|MM 202|MM 203|MM 204,No clear prerequisite identified from the uploaded schedules.
CBAE,ARTAPP,ARTAPP,Art Appreciation,Art Appreciation,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ACOSTA|ANTONIO|CANAY|CUADRA,EN 101|FM 201|FM 202|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103,No clear prerequisite identified from the uploaded schedules.
CBAE,BANFIN,BANFIN,Banking and Financial Institutions,Banking and Financial Institutions,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,FM 301|FM 302,No clear prerequisite identified from the uploaded schedules.
CBAE,BEHFIN,BEHFIN,Behavioral Finance,Behavioral Finance,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,BERNABE,FM 301|FM 302,No clear prerequisite identified from the uploaded schedules.
CBAE,BP IMPLE1,BPIMPLE1,Business Plan Implementation 1,Business Plan Implementation 1,5,1st Semester,AY 2026-2027,BPPRE,ALL,INFERRED_SEQUENCE,NONE,NONE,UNASSIGNED,EN 401,Business Plan Implementation 1 follows Business Plan Preparation.
CBAE,BP-IMPLEM2,BPIMPLEM2,Business Plan Implementation 2,Business Plan Implementation 2,5,2nd Semester,AY 2025-2026,BPIMPLE1,ALL,INFERRED_SEQUENCE,NONE,NONE,SAN JUAN,EN 401,Business Plan Implementation 2 follows Business Plan Implementation 1.
CBAE,BP-PRE,BPPRE,Business Plan Preparation,Business Plan Preparation,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SAN JUAN,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,BUSLAW,BUSLAW,Business Law (OBLICON),Business Law (OBLICON) | Business Law(Obli-Con),3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SARABIA|TULOD,FM 102|FM 202|HR 201|HR 202|HR 203|MM 201|MM 202|MM 203,No clear prerequisite identified from the uploaded schedules.
CBAE,BUSRES,BUSRES,Business Research,Business Research,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ABAD|INSO|LOPEZ|TOLENTINO,HR 301|HR 302|HR 303|MM 301|MM 302|MM 303|MM 304,No clear prerequisite identified from the uploaded schedules.
CBAE,BUSTAX,BUSTAX,Business Law and Taxation,Business Law and Taxation,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,SARABIA,EN 201,No clear prerequisite identified from the uploaded schedules.
CBAE,COMPAD,COMPAD,Compensation Administration,Compensation Administration,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,FALOGME|INSO,HR 301|HR 302|HR 303,No clear prerequisite identified from the uploaded schedules.
CBAE,CONWRLD,CONWRLD,The Contemporary World,The Contemporary World,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,ALONZO|CABRAL|CANAY|CORRALES|JABONITA|LAYOS,EN 201|FM 102|FM 202|HR 101|HR 102|HR 103|MM 101|MM 102|MM 103|MM 104,No clear prerequisite identified from the uploaded schedules.
CBAE,DISMAN,DISMAN,Distribution Management,Distribution Management,3,1st Semester,AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,UNASSIGNED,MM 301|MM 302|MM 303,No clear prerequisite identified from the uploaded schedules.
CBAE,E-COMM,ECOMM,E-Commerce & Internet Mrktg.,E-Commerce & Internet Marketing | E-Commerce & Internet Mrktg.,3,1st Semester|2nd Semester,AY 2025-2026|AY 2026-2027,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,CANAY,EN 301,No clear prerequisite identified from the uploaded schedules.
CBAE,ENMIND,ENMIND,The Entrepreneurial Mind,The Entrepreneurial Mind,3,2nd Semester,AY 2025-2026,NONE,NONE,NONE_IDENTIFIED,NONE,NONE,TANANGONAN,FM 201|FM 202,No clear prerequisite identified from the uploaded schedules.
