college,program_code,year_level,semester,subject_code
CBAE,BSBA-FM,1,1st,FUNDACC
CBAE,BSBA-FM,1,1st,KOMFIL
CBAE,BSBA-FM,1,1st,"LEAD 1"
CBAE,BSBA-FM,1,1st,MATHWRLD
CBAE,BSBA-FM,1,1st,"NSTP 1"
CBAE,BSBA-FM,1,1st,"PE 1"
CBAE,BSBA-FM,1,1st,PHILHIS
CBAE,BSBA-FM,1,1st,PURPCOMM
CBAE,BSBA-FM,1,1st,UNSELF
CBAE,BSBA-FM,1,2nd,ETHICS
CBAE,BSBA-FM,1,2nd,FILDIS
CBAE,BSBA-FM,1,2nd,LEAD2
CBAE,BSBA-FM,1,2nd,MANACC
CBAE,BSBA-FM,1,2nd,MATHINV
CBAE,BSBA-FM,1,2nd,MICECO
CBAE,BSBA-FM,1,2nd,NSTP2
CBAE,BSBA-FM,1,2nd,P.FIN
CBAE,BSBA-FM,1,2nd,"PE 2"
CBAE,BSBA-FM,2,1st,ADVCOM
CBAE,BSBA-FM,2,1st,BUSLAW
CBAE,BSBA-FM,2,1st,CONWRLD
CBAE,BSBA-FM,2,1st,FINMAN
CBAE,BSBA-FM,2,1st,FRANCH
CBAE,BSBA-FM,2,1st,GGSR
CBAE,BSBA-FM,2,1st,"LEAD 3"
CBAE,BSBA-FM,2,1st,"PE 3"
CBAE,BSBA-FM,2,1st,RIZAL
CBAE,BSBA-FM,2,2nd,ARTAPP
CBAE,BSBA-FM,2,2nd,ENMIND
CBAE,BSBA-FM,2,2nd,FINARE
CBAE,BSBA-FM,2,2nd,HRMAN
CBAE,BSBA-FM,2,2nd,INTEBUS
CBAE,BSBA-FM,2,2nd,LEAD4
CBAE,BSBA-FM,2,2nd,"PE 4"
CBAE,BSBA-FM,2,2nd,SOSLIT
CBAE,BSBA-FM,2,2nd,TAX
CBAE,BSBA-FM,3,1st,BANFIN
CBAE,BSBA-FM,3,1st,BEHFIN
CBAE,BSBA-FM,3,1st,"LEAD 5"
CBAE,BSBA-FM,3,1st,MOPCEB
CBAE,BSBA-FM,3,1st,OPMAN
CBAE,BSBA-FM,3,1st,STATRES
