 ,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
IT 101,IT 101,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Tue,07:30 AM-09:30 AM,39633,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODY4Nzc4MzMyOTk2?cjc=4jgsqpht,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Wed,07:30 AM-10:30 AM,39640,LAB2,MR. MACINAS,,HYFLEX A,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Tue,09:30 AM-11:30 AM,39737,ONLINE,MR. MACINAS,https://classroom.google.com/c/Nzk4MzM5MTQzMzU4?cjc=fzizoz3w,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Thu,07:30 AM-10:30 AM,39741,3A,MR. MACINAS,,HYFLEX A,,,
,ITP2,Fundamentals of Programming LEC,2,Tue,11:30 AM-01:30 PM,39811,ONLINE,MS. PUNZALAN,https://classroom.google.com/c/ODU1MzkwMTM5MDM0?cjc=tidymz3m,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Sat,07:30 AM-10:30 AM,39813,3A,MS. PUNZALAN,,HYFLEX A,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,10:30 AM-01:30 PM,39856,3B,MS. FERNANDEZ,https://classroom.google.com/c/ODY4ODQzNjg1Mjc2?cjc=ahvqwxtj,HYFLEX A,,  ,
,LEAD 1,Leadership 1,1.5,Wed,01:30 PM-03:00 PM,39933,5E,Coach. Jude Salonga,2viq4jqh ,HYFLEX A,,,
,MATHWRLD,Mathematics in the Modern World,3,Fri,07:30 AM-10:30 AM,39883,3A,MS. OLVIS,https://classroom.google.com/c/ODY4ODUwMDMwODI2?cjc=374vmdz2,HYFLEX A,,,
,NSTP 1,National Service Training Program 1,3,Wed,10:30 AM-01:30 PM,39984,5F,JAY B. EVANGELISTA,https://classroom.google.com/c/ODcwNDk0NDA0MzM3?cjc=gx3lgtaa,HYFLEX A,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Fri,10:30 AM-12:30 PM,40012,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/ODU1MzY1NTI2NjIy?cjc=rxdhbctm,HYFLEX A,,,
,PHILHIST,Readings in Philippine History,3,Sat,02:00 PM-05:00 PM,40052,5G,MS. PABELARIO,https://classroom.google.com/c/ODY4ODM0MDg3MTY0?cjc=b4rbgyih,HYFLEX A,,,
,PURPCOMM,Purposive Communication,3,Thu,02:00 PM-05:00 PM,40093,3B,MS. GALLEN,https://classroom.google.com/c/ODU1Mzc4NTc2MTM4?cjc=riwlz24s,HYFLEX A,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Thu,10:30 AM-01:30 PM,40135,3B,MS. ALARIAO,https://classroom.google.com/c/ODU1MzgxNTU5OTMx?cjc=eild5k3o,HYFLEX A,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 102,IT 102,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Tue,05:00 PM-07:00 PM,39676,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODU1MzYxNzQ2ODU1?cjc=mgjfhwmp,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Wed,10:30 AM-01:30 PM,39678,LAB2,MR. MACINAS,,HYFLEX A,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Tue,07:00 PM-09:00 PM,39749,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODY4Nzc4MzUzMTQ3?cjc=m3vmy2rc,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Thu,10:30 AM-01:30 PM,39753,3A,MR. MACINAS,,HYFLEX A,,,
,ITP2,Fundamentals of Programming LEC,2,Tue,03:00 PM-05:00 PM,39817,ONLINE,MS. PUNZALAN,https://classroom.google.com/c/ODY4ODg1OTMyMDU2?cjc=csotes6l,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Sat,10:30 AM-01:30 PM,39819,3A,MS. PUNZALAN,,HYFLEX A,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,07:30 AM-10:30 AM,39860,3B,MS. FERNANDEZ,https://classroom.google.com/c/ODY4ODQ0MDAxMjEx?cjc=546gfvaz,HYFLEX A,,,
,LEAD 1,Leadership 1,1.5,Tue,10:30 AM-12:00 PM,39939,5E,Coach. Rodolfo Loreto,https://classroom.google.com/c/ODcwMzgxODAzNjc3?cjc=gmgi334y,HYFLEX A,,,
,MATHWRLD,Mathematics in the Modern World,3,Wed,07:30 AM-10:30 AM,39891,3A,MS. OLVIS,https://classroom.google.com/c/ODY4ODQ4NTYzNDUz?cjc=e4jog7fq,HYFLEX A,,,
,NSTP 1,National Service Training Program 1,3,Tue,07:30 AM-10:30 AM,39988,5F,MR. MICHAEL JOHN E. SILVERIO,https://meet.google.com/hir-oaop-vxc      dldqsm3t,HYFLEX A,,,
,PATHFIT1,Physical Activity Towards Health and Fitness,2,Tue,01:00 PM-03:00 PM,40019,PE ROOM,MR. SALAZAR,https://classroom.google.com/c/Nzk4MzQxODQ0NjMw?cjc=wo7tsfrd,HYFLEX A,,,
,PHILHIST,Readings in Philippine History,3,Thu,02:00 PM-05:00 PM,40054,5B,MR. LEI,https://classroom.google.com/c/ODU1NDE0MzA4MTAx?cjc=agod3yi3,HYFLEX A,,,
,PURPCOMM,Purposive Communication,3,Wed,02:00 PM-05:00 PM,40098,3B,MS. GALLEN,https://classroom.google.com/c/ODU1Mzc5MDQ0NTUw?cjc=d5nteqhd,HYFLEX A,,,
,UNDSELF,Understanding the Self/Pagunawa sa Sarili,3,Thu,07:30 AM-10:30 AM,40137,3B,MS. ALARIAO,https://classroom.google.com/c/ODU1MzgxNTI2NzIw?cjc=3w7nifey,HYFLEX A,,,
,********NOTHING FOLLOWS********,,30.5,********NOTHING FOLLOWS********,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IT 103,IT 103,,,,,,,,,,,,
,SUBJECT CODE,DESCRIPTION,UNITS,DAY,TIME,SCHED ID,ROOM,Name of Faculty,Google Classroom LINK(Use GRC Google Account),Modality,"Remarks on Changes, If Any (PH)",,
,ITC,Introduction to Computing LEC,2,Mon,07:30 AM-09:30 AM,39682,ONLINE,MR. MACINAS,https://classroom.google.com/c/ODY4Nzc4NDI5ODE5?cjc=oqi62rav,ONLINE,,,
,ITCL,Introduction to Computing LAB,1,Wed,02:00 PM-05:00 PM,39684,LAB2,MR. MACINAS,,HYFLEX A,,,
,ITP1,Computer Hardware and Troubleshooting LEC,2,Mon,09:30 AM-11:30 AM,39755,ONLINE,MR. MACINAS,https://classroom.google.com/c/Nzk4MzM5NzUwNzg1?cjc=t4vu473v,ONLINE,,,
,ITP1L,Computer Hardware and Troubleshooting LAB,1,Thu,05:00 PM-08:00 PM,39757,3A,MR. MACINAS,,HYFLEX A,,,
,ITP2,Fundamentals of Programming LEC,2,Tue,05:00 PM-07:00 PM,39823,ONLINE,MS. PUNZALAN,https://classroom.google.com/c/ODU1Mzg5OTYwNTI1?cjc=ipaicvhs,ONLINE,,,
,ITP2L,Fundamentals of Programming LAB,1,Sat,02:00 PM-05:00 PM,39825,3A,MS. PUNZALAN,,HYFLEX A,,,
,KOMFIL,Kontekstwalisadong Komunikasyon sa Filipino,3,Sat,05:00 PM-08:00 PM,39862,3B,MS. FERNANDEZ,https://classroom.google.com/c/ODY4ODQ0MTMzMjg4?cjc=yfrcmt6t,HYFLEX A,,,
,LEAD 1,Leadership 1,1.5,Thu,03:00 PM-04:30 PM,39945,5E,Coach. Mariel Prado,pxppg6b7,HYFLEX A,,,
